"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
15 Jun 2022 20:09:09.443,136.371,60.014,1099.997253
15 Jun 2022 20:09:10.000,136.149,60.182,1098.444337
15 Jun 2022 20:09:11.000,135.743,60.484,1095.685074
15 Jun 2022 20:09:12.000,135.327,60.786,1092.962965
15 Jun 2022 20:09:13.000,134.901,61.088,1090.278293
15 Jun 2022 20:09:14.000,134.465,61.389,1087.631337
15 Jun 2022 20:09:15.000,134.019,61.691,1085.022377
15 Jun 2022 20:09:16.000,133.561,61.992,1082.451691
15 Jun 2022 20:09:17.000,133.092,62.294,1079.919555
15 Jun 2022 20:09:18.000,132.612,62.594,1077.426245
15 Jun 2022 20:09:19.000,132.119,62.895,1074.972034
15 Jun 2022 20:09:20.000,131.614,63.194,1072.557193
15 Jun 2022 20:09:21.000,131.096,63.493,1070.181991
15 Jun 2022 20:09:22.000,130.565,63.792,1067.846697
15 Jun 2022 20:09:23.000,130.020,64.089,1065.551575
15 Jun 2022 20:09:24.000,129.461,64.386,1063.296889
15 Jun 2022 20:09:25.000,128.888,64.681,1061.082899
15 Jun 2022 20:09:26.000,128.299,64.975,1058.909864
15 Jun 2022 20:09:27.000,127.695,65.268,1056.778039
15 Jun 2022 20:09:28.000,127.075,65.559,1054.687676
15 Jun 2022 20:09:29.000,126.438,65.849,1052.639025
15 Jun 2022 20:09:30.000,125.785,66.137,1050.632333
15 Jun 2022 20:09:31.000,125.114,66.423,1048.667843
15 Jun 2022 20:09:32.000,124.425,66.707,1046.745796
15 Jun 2022 20:09:33.000,123.717,66.989,1044.866428
15 Jun 2022 20:09:34.000,122.991,67.269,1043.029973
15 Jun 2022 20:09:35.000,122.244,67.546,1041.236659
15 Jun 2022 20:09:36.000,121.478,67.820,1039.486714
15 Jun 2022 20:09:37.000,120.691,68.092,1037.780357
15 Jun 2022 20:09:38.000,119.882,68.360,1036.117808
15 Jun 2022 20:09:39.000,119.052,68.625,1034.499279
15 Jun 2022 20:09:40.000,118.199,68.886,1032.924980
15 Jun 2022 20:09:41.000,117.324,69.144,1031.395115
15 Jun 2022 20:09:42.000,116.425,69.398,1029.909885
15 Jun 2022 20:09:43.000,115.503,69.648,1028.469484
15 Jun 2022 20:09:44.000,114.556,69.893,1027.074104
15 Jun 2022 20:09:45.000,113.584,70.133,1025.723931
15 Jun 2022 20:09:46.000,112.587,70.369,1024.419144
15 Jun 2022 20:09:47.000,111.564,70.600,1023.159920
15 Jun 2022 20:09:48.000,110.516,70.825,1021.946429
15 Jun 2022 20:09:49.000,109.442,71.044,1020.778836
15 Jun 2022 20:09:50.000,108.341,71.257,1019.657299
15 Jun 2022 20:09:51.000,107.214,71.464,1018.581974
15 Jun 2022 20:09:52.000,106.060,71.665,1017.553007
15 Jun 2022 20:09:53.000,104.879,71.859,1016.570542
15 Jun 2022 20:09:54.000,103.673,72.046,1015.634715
15 Jun 2022 20:09:55.000,102.439,72.225,1014.745656
15 Jun 2022 20:09:56.000,101.180,72.396,1013.903490
15 Jun 2022 20:09:57.000,99.896,72.560,1013.108336
15 Jun 2022 20:09:58.000,98.587,72.715,1012.360305
15 Jun 2022 20:09:59.000,97.253,72.862,1011.659503
15 Jun 2022 20:10:00.000,95.896,73.000,1011.006030
15 Jun 2022 20:10:01.000,94.516,73.129,1010.399972
15 Jun 2022 20:10:02.000,93.115,73.249,1009.841422
15 Jun 2022 20:10:03.000,91.693,73.359,1009.330460
15 Jun 2022 20:10:04.000,90.253,73.459,1008.867161
15 Jun 2022 20:10:05.000,88.795,73.549,1008.451589
15 Jun 2022 20:10:06.000,87.321,73.629,1008.083806
15 Jun 2022 20:10:07.000,85.833,73.699,1007.763864
15 Jun 2022 20:10:08.000,84.333,73.758,1007.491810
15 Jun 2022 20:10:09.000,82.822,73.806,1007.267684
15 Jun 2022 20:10:10.000,81.303,73.844,1007.091518
15 Jun 2022 20:10:11.000,79.778,73.870,1006.963338
